side,entry_time,exit_time,entry,exit,stop,target,bars_held,reason,gross_pnl,net_pnl,return_pct,entry_ts,hour_utc,weekday,reason_grp,month
SHORT,2026-02-06 01:14:00+00:00,2026-02-06 01:35:00+00:00,64267.63,64568.401714285894,64568.401714285894,63945.9875,22,stop,-46.799876436379634,-66.84667631281602,-0.6684667631281602,2026-02-06 01:14:00+00:00,1,Friday,stop,2026-02
LONG,2026-02-06 02:27:00+00:00,2026-02-06 02:33:00+00:00,64500.01,64802.770000000004,64318.988749999975,64802.770000000004,7,target_25pct,46.93952760627511,26.89258807866883,0.26892588078668833,2026-02-06 02:27:00+00:00,2,Friday,target_25pct,2026-02
LONG,2026-02-06 06:41:00+00:00,2026-02-06 06:44:00+00:00,65299.66,65194.47414285731,65194.47414285731,65567.43000000001,4,stop,-16.108178379901645,-36.09207020152174,-0.3609207020152174,2026-02-06 06:41:00+00:00,6,Friday,stop,2026-02
SHORT,2026-02-06 14:49:00+00:00,2026-02-06 14:50:00+00:00,68452.78,68107.0925,68715.46721428589,68107.0925,2,target_25pct,50.50014038874681,30.550640529135556,0.3055064052913556,2026-02-06 14:49:00+00:00,14,Friday,target_25pct,2026-02
SHORT,2026-02-07 12:22:00+00:00,2026-02-07 12:30:00+00:00,69418.45,69700.91596428573,69700.91596428573,69112.83499999999,9,stop,-40.690330061493675,-60.73102039155517,-0.6073102039155517,2026-02-07 12:22:00+00:00,12,Saturday,stop,2026-02
LONG,2026-02-08 23:34:00+00:00,2026-02-08 23:37:00+00:00,70440.76,70139.79110714285,70139.79110714285,70750.2825,4,stop,-42.726525502726176,-62.683798977223454,-0.6268379897722345,2026-02-08 23:34:00+00:00,23,Sunday,stop,2026-02
LONG,2026-02-11 14:45:00+00:00,2026-02-11 14:47:00+00:00,67236.42,67044.2848928572,67044.2848928572,67508.07500000001,3,stop,-28.576046604324347,-48.54747055772002,-0.4854747055772002,2026-02-11 14:45:00+00:00,14,Wednesday,stop,2026-02
LONG,2026-02-17 14:56:00+00:00,2026-02-17 15:09:00+00:00,66900.0,67170.565,66724.7682857144,67170.565,14,target_25pct,40.4431988041857,20.40275560538151,0.20402755605381512,2026-02-17 14:56:00+00:00,14,Tuesday,target_25pct,2026-02
LONG,2026-02-23 01:28:00+00:00,2026-02-23 01:46:00+00:00,65201.62,64930.998285714304,64930.998285714304,65519.1375,19,stop,-41.5053666282676,-61.46386126163934,-0.6146386126163934,2026-02-23 01:28:00+00:00,1,Monday,stop,2026-02
SHORT,2026-02-25 01:15:00+00:00,2026-02-25 01:17:00+00:00,65606.34,65811.52607142857,65811.52607142857,65324.9175,3,stop,-31.275341899665822,-51.30661724156549,-0.5130661724156549,2026-02-25 01:15:00+00:00,1,Wednesday,stop,2026-02
SHORT,2026-02-25 01:24:00+00:00,2026-02-25 02:03:00+00:00,65977.65,65991.59,66285.03896428553,65640.84999999999,40,time_exit,-2.112836695457072,-22.114949532152533,-0.22114949532152534,2026-02-25 01:24:00+00:00,1,Wednesday,time_exit,2026-02
LONG,2026-02-28 06:41:00+00:00,2026-02-28 06:50:00+00:00,63952.94,63676.65978571431,63676.65978571431,64231.555,10,stop,-43.20054938610937,-63.15734883672326,-0.6315734883672326,2026-02-28 06:41:00+00:00,6,Saturday,stop,2026-02
LONG,2026-02-28 07:00:00+00:00,2026-02-28 07:01:00+00:00,63216.01,63476.012500000004,63020.802714285855,63476.012500000004,2,target_25pct,41.12921710813484,21.088087891026703,0.21088087891026702,2026-02-28 07:00:00+00:00,7,Saturday,target_25pct,2026-02
SHORT,2026-03-02 14:57:00+00:00,2026-03-02 14:59:00+00:00,66943.33,67135.0816071429,67135.0816071429,66635.9925,3,stop,-28.64387044129686,-48.672514311738155,-0.4867251431173816,2026-03-02 14:57:00+00:00,14,Monday,stop,2026-03
SHORT,2026-03-02 15:20:00+00:00,2026-03-02 15:20:00+00:00,68377.99,68552.51714285706,68552.51714285706,68040.18000000001,1,stop,-25.523877326177015,-45.549401203503194,-0.4554940120350319,2026-03-02 15:20:00+00:00,15,Monday,stop,2026-03
SHORT,2026-03-02 15:23:00+00:00,2026-03-02 15:25:00+00:00,68534.6,68782.13585714274,68782.13585714274,68224.805,3,stop,-36.11837774536293,-56.15449612310829,-0.5615449612310829,2026-03-02 15:23:00+00:00,15,Monday,stop,2026-03
SHORT,2026-03-02 15:29:00+00:00,2026-03-02 15:34:00+00:00,68534.66,68763.3595000001,68763.3595000001,68245.43,6,stop,-33.36990363709249,-53.403273540729586,-0.5340327354072958,2026-03-02 15:29:00+00:00,15,Monday,stop,2026-03
SHORT,2026-03-04 08:55:00+00:00,2026-03-04 08:55:00+00:00,70667.26,70836.17985714282,70836.17985714282,70374.5725,1,stop,-23.90355266962775,-43.92745622229738,-0.43927456222297384,2026-03-04 08:55:00+00:00,8,Wednesday,stop,2026-03
SHORT,2026-03-04 09:01:00+00:00,2026-03-04 09:06:00+00:00,70921.77,71145.51646428571,71145.51646428571,70629.5875,6,stop,-31.548347465906232,-51.57989581337214,-0.5157989581337213,2026-03-04 09:01:00+00:00,9,Wednesday,stop,2026-03
SHORT,2026-03-10 02:52:00+00:00,2026-03-10 03:03:00+00:00,70467.92,70183.66500000001,70593.09578571431,70183.66500000001,12,target_25pct,40.33821347359055,20.37855168706414,0.20378551687064136,2026-03-10 02:52:00+00:00,2,Tuesday,target_25pct,2026-03
SHORT,2026-03-10 15:04:00+00:00,2026-03-10 15:04:00+00:00,71399.99,71576.26746428573,71576.26746428573,71083.56,1,stop,-24.688723946001353,-44.71341266994735,-0.44713412669947356,2026-03-10 15:04:00+00:00,15,Tuesday,stop,2026-03
LONG,2026-03-22 00:07:00+00:00,2026-03-22 00:17:00+00:00,68653.05,68992.91500000001,68485.11389285715,68992.91500000001,11,target_25pct,49.50471974661071,29.4552150268641,0.294552150268641,2026-03-22 00:07:00+00:00,0,Sunday,target_25pct,2026-03
SHORT,2026-03-23 11:15:00+00:00,2026-03-23 11:23:00+00:00,70963.19,70566.725,71502.914142857,70566.725,9,target_25pct,55.86910622253544,35.92497532875798,0.3592497532875798,2026-03-23 11:15:00+00:00,11,Monday,target_25pct,2026-03
SHORT,2026-03-23 11:36:00+00:00,2026-03-23 11:38:00+00:00,70907.09,70396.0475,71079.41675000003,70396.0475,3,target_25pct,72.07212988151056,52.144202011392075,0.5214420201139208,2026-03-23 11:36:00+00:00,11,Monday,target_25pct,2026-03
