side,entry_time,exit_time,entry,exit,stop,target,bars_held,reason,gross_pnl,net_pnl,ret_on_capital_pct
LONG,2026-04-07 10:43:00+00:00,2026-04-07 10:43:00+00:00,24305.25,24285.298214285714,24285.298214285714,24317.0625,1,stop,-39.90357142857101,-42.30357142857101,-0.4230357142857101
LONG,2026-04-07 11:01:00+00:00,2026-04-07 11:15:00+00:00,24212.0,24240.8125,24194.91875,24240.8125,15,target_25pct,57.625,55.225,0.55225
SHORT,2026-04-07 12:32:00+00:00,2026-04-07 12:32:00+00:00,24229.25,24219.8125,24257.716964285715,24219.8125,1,target_25pct,18.875,16.475,0.16475
LONG,2026-04-07 12:52:00+00:00,2026-04-07 12:52:00+00:00,24196.25,24201.125,24179.9375,24201.125,1,target_25pct,9.75,7.35,0.0735
LONG,2026-04-07 14:11:00+00:00,2026-04-07 14:20:00+00:00,24031.5,24071.8125,24005.761607142857,24071.8125,10,target_25pct,80.625,78.225,0.78225
LONG,2026-04-07 15:08:00+00:00,2026-04-07 15:10:00+00:00,23961.5,23997.5,23944.979464285716,23997.5,3,target_25pct,72.0,69.6,0.696
SHORT,2026-04-07 15:38:00+00:00,2026-04-07 15:39:00+00:00,24070.25,24057.6875,24102.635714285716,24057.6875,2,target_25pct,25.125,22.725,0.22725
SHORT,2026-04-07 16:05:00+00:00,2026-04-07 16:07:00+00:00,24176.75,24163.5,24215.3625,24163.5,3,target_25pct,26.5,24.1,0.24100000000000002
SHORT,2026-04-07 16:18:00+00:00,2026-04-07 16:23:00+00:00,24161.5,24186.9125,24186.9125,24147.8125,6,stop,-50.82499999999709,-53.22499999999709,-0.5322499999999708
SHORT,2026-04-07 16:50:00+00:00,2026-04-07 16:56:00+00:00,24221.75,24208.875,24234.525,24208.875,7,target_25pct,25.75,23.35,0.23350000000000004
LONG,2026-04-07 17:23:00+00:00,2026-04-07 17:23:00+00:00,24180.0,24189.25,24167.117857142857,24189.25,1,target_25pct,18.5,16.1,0.161
SHORT,2026-04-07 17:39:00+00:00,2026-04-07 17:40:00+00:00,24263.75,24250.0625,24285.380357142858,24250.0625,2,target_25pct,27.375,24.975,0.24975000000000003
LONG,2026-04-07 18:14:00+00:00,2026-04-07 18:14:00+00:00,24214.0,24215.375,24196.954464285714,24215.375,1,target_25pct,2.75,0.3500000000000001,0.003500000000000001
LONG,2026-04-07 18:58:00+00:00,2026-04-07 19:02:00+00:00,24099.75,24118.375,24082.4125,24118.375,5,target_25pct,37.25,34.85,0.34850000000000003
LONG,2026-04-07 19:09:00+00:00,2026-04-07 19:10:00+00:00,24105.25,24110.0,24074.741071428572,24110.0,2,target_25pct,9.5,7.1,0.071
