time,asset,AdrActCnt,CapMVRVCur,CapMrktCurUSD,HashRate,PriceUSD,SplyCur,TxCnt
2021-09-12 00:00:00+00:00,btc,705573,2.208217016174,868839735686.3914,134567094.03588477,46180.6124563998,18813950.04249204,193569
2021-09-13 00:00:00+00:00,btc,908372,2.151863481078,846512959971.3956,145552163.85144845,44991.5221277031,18814943.79249204,253041
2021-09-14 00:00:00+00:00,btc,952892,2.245175277381,884777283874.6704,153790965.55401707,47022.6177597896,18815993.79248658,270910
2021-09-15 00:00:00+00:00,btc,976201,2.293761212961,906356284523.2517,129989982.27183735,48167.1893676213,18816881.29248658,268455
2021-09-16 00:00:00+00:00,btc,1021047,2.273981867172,899437280895.7874,124497447.36405551,47797.3283237873,18817731.29248658,270023
2021-09-17 00:00:00+00:00,btc,943981,2.244949537952,888499868900.2493,134567094.03588477,47213.7941294565,18818650.04248658,273808
2021-09-18 00:00:00+00:00,btc,819880,2.290426705637,907181161197.6664,141890473.9129272,48204.0136519579,18819618.79248658,227894
2021-09-19 00:00:00+00:00,btc,714326,2.242941684172,888680899050.9407,146467585.6769746,47218.4739964933,18820618.79248658,199632
2021-09-20 00:00:00+00:00,btc,1014971,2.040586287582,806611150255.1008,150129275.61549583,42855.5103448276,18821643.79247566,273371
2021-09-21 00:00:00+00:00,btc,844883,1.933233183973,762806301935.1322,114073685.15409195,40526.4893760958,18822412.54247566,245996
2021-09-22 00:00:00+00:00,btc,888195,2.075944471859,820271543076.0717,126546634.44445217,43577.5724821742,18823250.04247566,270233
2021-09-23 00:00:00+00:00,btc,918846,2.135308888042,844481693316.983,155822347.18556657,44861.2980329047,18824281.29247566,273598
2021-09-24 00:00:00+00:00,btc,958548,2.038939778388,805781097472.616,139767924.24494308,42803.307701052,18825206.29247566,274940
2021-09-25 00:00:00+00:00,btc,702530,2.035666539997,804538656841.323,135990412.4848302,42735.2658240795,18826106.29247566,210070
2021-09-26 00:00:00+00:00,btc,699993,2.040529522117,812031799027.2393,131268523.46464118,43131.2941773816,18826975.04247566,192460
2021-09-27 00:00:00+00:00,btc,901586,2.010425564687,800127083577.485,146378569.1451885,42496.7852250146,18827943.79247566,262162
2021-09-28 00:00:00+00:00,btc,935822,1.951689041262,776198293483.3026,143545436.00505593,41223.7862743425,18828893.79247546,262395
2021-09-29 00:00:00+00:00,btc,830989,1.962665363543,780565646921.4586,122769122.68433928,41453.9470131502,18829706.29247546,240916
2021-09-30 00:00:00+00:00,btc,1059608,2.069864321133,824440444029.2034,161488614.82573587,43781.546015488,18830775.04247,289577
2021-10-01 00:00:00+00:00,btc,962201,2.26565626698,905390548127.17,132212900.72471733,48078.1315543542,18831650.04246454,279255
2021-10-02 00:00:00+00:00,btc,963528,2.248711046277,900066645699.4569,177543039.12626347,47792.4391943308,18832825.04246454,260972
2021-10-03 00:00:00+00:00,btc,808347,2.266397740964,907836753956.0886,141656680.1249995,48202.6229177089,18833762.54246454,216090
2021-10-04 00:00:00+00:00,btc,1015651,2.31284262096,928335986047.2693,147634521.78479335,49288.5013106371,18834737.54246454,265740
2021-10-05 00:00:00+00:00,btc,1037679,2.411845063946,971135174368.5519,162177735.98974445,51558.0493319112,18835762.54246454,312571
2021-10-06 00:00:00+00:00,btc,914612,2.572944325306,1043919575657.0316,129544410.62214965,55419.800411163,18836581.29246454,273475
2021-10-07 00:00:00+00:00,btc,1144142,2.490026710036,1013552627931.8853,139433297.74445093,53805.1569125658,18837462.54246454,324741
2021-10-08 00:00:00+00:00,btc,978503,2.492000787508,1016011255921.6256,118666635.49961804,53933.5275908825,18838212.54245908,280844
2021-10-09 00:00:00+00:00,btc,991926,2.538238578635,1036359022483.6368,148333295.4425223,55010.9224751607,18839150.04245908,241705
2021-10-10 00:00:00+00:00,btc,803826,2.520123658863,1030579975221.3647,157233293.14059362,54701.2797022209,18840143.79245908,212316
2021-10-11 00:00:00+00:00,btc,1009017,2.631558646637,1079388786986.324,144377740.59360176,57289.1864570426,18841056.29245908,277496
2021-10-12 00:00:00+00:00,btc,937369,2.574418652958,1058842478838.182,132511077.47083984,56196.1812597896,18841893.79244924,274993
2021-10-13 00:00:00+00:00,btc,975651,2.620098281333,1080622323470.5658,167122178.8388953,57348.8928769725,18842950.04244924,289461
2021-10-14 00:00:00+00:00,btc,1007101,2.613922367304,1081333675898.4808,135477742.8955304,57384.0369146698,18843806.29244378,284115
2021-10-15 00:00:00+00:00,btc,1017121,2.783786506255,1157932253824.4275,139433297.74445093,61446.0840073057,18844687.54244378,297755
2021-10-16 00:00:00+00:00,btc,937355,2.755061819188,1148296342322.6633,131522188.0466099,60932.0632119228,18845518.79244378,269680
2021-10-17 00:00:00+00:00,btc,823877,2.775039217832,1158348928964.852,158222181.14082393,61462.2223722969,18846518.79244378,212511
2021-10-18 00:00:00+00:00,btc,1003479,2.778276503838,1168109108621.0642,146581499.01401103,61977.0575514319,18847443.79243407,291260
2021-10-19 00:00:00+00:00,btc,1077371,2.86843851115,1211781363655.901,154737198.88886136,64290.8977574518,18848412.54243407,310438
2021-10-20 00:00:00+00:00,btc,977215,2.928317326688,1245221514980.2715,148747371.3620959,66061.7965639977,18849343.79242861,291740
2021-10-21 00:00:00+00:00,btc,1139133,2.756592260011,1175764509578.1985,147749067.49308088,62373.8856206897,18850268.79242861,321169
2021-10-22 00:00:00+00:00,btc,957015,2.683021944048,1145232055939.3223,157732111.93346488,60750.9673718293,18851256.29242861,281476
2021-10-23 00:00:00+00:00,btc,826969,2.702488997272,1154696513456.678,144754153.0109189,61250.082628872,18852162.54242861,228432
2021-10-24 00:00:00+00:00,btc,737951,2.679080716831,1147503503631.4478,152740589.71327287,60865.4470523086,18853118.79242861,208278
2021-10-25 00:00:00+00:00,btc,1079523,2.761945352578,1188415315425.7778,181691420.60296836,63031.6729015196,18854256.29242861,286798
2021-10-26 00:00:00+00:00,btc,998333,2.643400963823,1138740201958.921,149745676.66866937,60393.9802738165,18855193.79242861,295695
2021-10-27 00:00:00+00:00,btc,944035,2.563731148388,1104280514495.558,156733808.06444988,58563.3359899766,18856175.04242861,286086
2021-10-28 00:00:00+00:00,btc,1055114,2.64447556709,1142074087989.8003,152740589.71327287,60564.5721122151,18857131.29242861,297884
2021-10-29 00:00:00+00:00,btc,1014855,2.709231626512,1173560980221.0315,170710070.85601085,62230.8055689655,18858200.04242861,307314
2021-10-30 00:00:00+00:00,btc,906672,2.6854484387,1164420084616.5515,154737198.88886136,61742.9165321449,18859168.79242861,251998
2021-10-31 00:00:00+00:00,btc,893617,2.660031269082,1158628121727.842,140567236.29171762,61432.9700628287,18860037.54242861,216741
2021-11-01 00:00:00+00:00,btc,1053426,2.639313472843,1152255716550.1553,159350397.3506241,61092.0950592051,18860962.54242861,289324
2021-11-02 00:00:00+00:00,btc,1035030,2.705646798155,1188769633683.1074,170117315.37816852,63024.7472296902,18861950.04242861,300911
2021-11-03 00:00:00+00:00,btc,1069212,2.692667749587,1187535932342.479,173347392.02678087,62955.9817630041,18862956.29242861,290879
2021-11-04 00:00:00+00:00,btc,998917,2.624435938698,1158125134065.476,153966938.33685192,61393.8899780246,18863850.04240677,286047
2021-11-05 00:00:00+00:00,btc,1037437,2.601770640962,1150864132606.2607,166887240.27999246,61005.840833723,18864818.79240131,282446
2021-11-06 00:00:00+00:00,btc,825483,2.617491647791,1159397601037.2688,165810547.54697624,61455.0536268849,18865781.29239585,237201
2021-11-07 00:00:00+00:00,btc,826432,2.682304638596,1189431376523.6956,164733856.36439633,63043.8290590298,18866737.54238493,222930
2021-11-08 00:00:00+00:00,btc,1018796,2.854649564891,1274349562679.1753,145353402.67446733,67541.7555081824,18867581.29235763,294064
2021-11-09 00:00:00+00:00,btc,1195638,2.82534877502,1265995157805.92,163657165.1818164,67095.5856706605,18868531.29235763,336872
2021-11-10 00:00:00+00:00,btc,1022756,2.721054645529,1221912387623.9292,160427088.53320405,64756.0779689071,18869462.54235217,295892
2021-11-11 00:00:00+00:00,btc,1037951,2.723236415073,1225879749587.1582,170117315.37816852,64962.9312939801,18870450.04234217,293052
2021-11-12 00:00:00+00:00,btc,975353,2.650242500833,1209255835198.8247,152890245.60383567,64078.968037405,18871337.54234217,287476
2021-11-13 00:00:00+00:00,btc,828248,2.661045965713,1215334035223.431,164733856.36439633,64397.7912063121,18872293.79234217,234794
2021-11-14 00:00:00+00:00,btc,806451,2.684880108371,1227371081397.81,175346393.03899404,65032.2256548217,18873275.04232217,222847
2021-11-15 00:00:00+00:00,btc,1083387,2.626068388319,1203297567403.2034,170197841.1880367,63753.5031592636,18874218.79229487,291313
2021-11-16 00:00:00+00:00,btc,1030573,2.481173720882,1138596574917.1836,169070703.88709787,60322.4978530099,18875156.29229487,301154
2021-11-17 00:00:00+00:00,btc,993545,2.470657927214,1135477990765.8389,167943564.96308032,60154.3083661601,18876087.54229487,288569
2021-11-18 00:00:00+00:00,btc,990087,2.337640428663,1072102568248.274,162307875.21222878,56794.1556271186,18876987.54229487,295608
2021-11-19 00:00:00+00:00,btc,976682,2.386216999692,1095180607639.1604,154417909.23642084,58014.0729888954,18877843.79229487,283868
2021-11-20 00:00:00+00:00,btc,848464,2.455017801074,1127995381461.3696,163435012.5131676,59749.4738229106,18878750.04229487,248520
2021-11-21 00:00:00+00:00,btc,842004,2.424879879847,1114510856672.638,148782219.4855693,59032.6241017534,18879575.04229487,218828
2021-11-22 00:00:00+00:00,btc,947435,2.319018826324,1064547451127.3552,158926461.6863336,56383.5658760958,18880456.29229487,286930
2021-11-23 00:00:00+00:00,btc,909010,2.368765838495,1088359834858.612,148782219.4855693,57642.2657980713,18881281.29229487,282832
2021-11-24 00:00:00+00:00,btc,1071921,2.346842971087,1078967043352.8656,176960669.86290583,57141.8303784337,18882262.54229487,295032
2021-11-25 00:00:00+00:00,btc,973237,2.404923210419,1114264869559.638,146527943.26061293,59008.6554792519,18883075.04229487,287824
2021-11-26 00:00:00+00:00,btc,996141,2.198435955413,1015965489485.063,148782219.4855693,53800.6178389831,18883900.04229487,291679
2021-11-27 00:00:00+00:00,btc,777970,2.23272965194,1031787373971.6844,161180737.91128996,54635.8824628872,18884793.79229487,238622
2021-11-28 00:00:00+00:00,btc,816560,2.336711996385,1081177168314.8127,155140985.08780915,57248.5696963764,18885662.54229487,215317
2021-11-29 00:00:00+00:00,btc,993217,2.35943908323,1093922763691.2256,158774565.89045352,57920.7107299825,18886556.29228941,303388
2021-11-30 00:00:00+00:00,btc,977183,2.324578694477,1078413765008.8096,148781761.08892423,57097.0127942724,18887393.79228941,296340
2021-12-01 00:00:00+00:00,btc,1057704,2.324286205718,1080041656303.1398,152112695.48981774,57180.6098439509,18888250.04228941,284941
2021-12-02 00:00:00+00:00,btc,1184757,2.300196624281,1068806660306.1696,172098305.0928763,56582.8937691408,18889218.79228941,315565
2021-12-03 00:00:00+00:00,btc,1010596,2.184991514137,1013871254042.7568,186532356.82816276,53671.6160680888,18890268.79228941,289452
2021-12-04 00:00:00+00:00,btc,961294,2.009166960477,928688246483.0732,172098305.0928763,49159.7357983635,18891237.54228941,244342
2021-12-05 00:00:00+00:00,btc,978899,2.016818310956,931901019326.8503,184311733.36128417,49327.0935999416,18892275.04228941,221615
2021-12-06 00:00:00+00:00,btc,1078373,2.067537537544,954783478279.0153,190973602.16307116,50535.4252232612,18893350.04228941,286268
2021-12-07 00:00:00+00:00,btc,983177,2.064377234197,955569896395.9672,170987992.5600126,50574.4728344828,18894312.54228395,284544
2021-12-08 00:00:00+00:00,btc,927369,2.06171865801,954228172561.4713,186532356.82816276,50500.6543513735,18895362.54168395,268196
2021-12-09 00:00:00+00:00,btc,1123743,1.960546627964,905851378783.0408,180980797.36154187,47937.8228458212,18896381.29158394,285532
2021-12-10 00:00:00+00:00,btc,930831,1.941373722658,896438217378.843,173208616.0268912,47437.2289725307,18897356.29157302,270853
2021-12-11 00:00:00+00:00,btc,805461,2.016910635367,932097595289.7968,176623989.86056373,49321.7693252484,18898300.04157302,222133
2021-12-12 00:00:00+00:00,btc,725043,2.049751176277,947539855067.0088,168385593.15527847,50136.5722568673,18899175.04157302,211066
2021-12-13 00:00:00+00:00,btc,996713,1.915299897932,884245329814.8835,169588348.35705444,46785.3278410286,18900056.29156756,281785
2021-12-14 00:00:00+00:00,btc,966596,1.974877505476,912779083729.6282,178007627.84162176,48292.6822501461,18900981.29156756,281921
2021-12-15 00:00:00+00:00,btc,1058257,1.995926977652,922989712159.9609,169588348.35705444,48830.6223860316,18901862.54156756,280841
2021-12-16 00:00:00+00:00,btc,873836,1.94871973203,900962599446.6981,138316737.35840493,47663.4691077148,18902581.29156756,256019
2021-12-17 00:00:00+00:00,btc,979005,1.896526938461,875884494655.8488,179210381.31143162,46334.4837489772,18903512.54156756,260119
2021-12-18 00:00:00+00:00,btc,855978,1.919525855516,886704391681.2982,153952542.85772967,46904.8736753361,18904312.54156756,234236
2021-12-19 00:00:00+00:00,btc,755797,1.918249189772,886210279075.9624,179210381.31143162,46876.426924021,18905243.7915621,214374
2021-12-20 00:00:00+00:00,btc,1015255,1.922187343668,887733510019.3333,173196610.49845013,46954.7634783168,18906143.79155118,266803
2021-12-21 00:00:00+00:00,btc,1009227,2.007205377658,928001919405.3176,193643433.34094656,49082.0624666277,18907150.04155118,303464
2021-12-22 00:00:00+00:00,btc,992589,1.990870317874,920673856889.8291,178007627.84162176,48692.0987391584,18908075.0415348,286626
2021-12-23 00:00:00+00:00,btc,991240,2.070150565572,958932834186.8992,182818645.1847934,50712.9707682642,18909025.04151842,292194
2021-12-24 00:00:00+00:00,btc,974212,2.071634649338,960320724015.7853,181615889.98301744,50783.8344210988,18909968.79150204,256631
2021-12-25 00:00:00+00:00,btc,866151,2.064057745187,956710327599.5709,177168715.84969085,50590.4508976622,18910887.54150204,204665
2021-12-26 00:00:00+00:00,btc,774902,2.071542317446,960683606726.741,161682279.2989218,50798.3065859147,18911725.04150204,201930
2021-12-27 00:00:00+00:00,btc,992531,2.070718360007,960694114316.4373,178574457.26635152,50796.3776735827,18912650.04150204,248198
2021-12-28 00:00:00+00:00,btc,1051572,1.945824586517,901663524613.2404,161682279.2989218,47673.0440452367,18913487.54146382,269681
2021-12-29 00:00:00+00:00,btc,1142870,1.898459995686,878957961885.9198,174954703.60370144,46470.3215751023,18914393.79143106,276509
2021-12-30 00:00:00+00:00,btc,977727,1.923609297095,890949566257.0242,143583516.198115,47102.4630037989,18915137.54143106,245011
2021-12-31 00:00:00+00:00,btc,1093396,1.893385603418,876856588254.3344,179781040.6622474,46355.1173302747,18916068.79143106,262509
2022-01-01 00:00:00+00:00,btc,695722,1.941966039424,899699536194.4493,207532476.14266497,47560.0093816482,18917143.79143106,188065
2022-01-02 00:00:00+00:00,btc,734444,1.933497096507,895821904623.96,190640298.17523527,47352.5577565751,18918131.29143106,194826
2022-01-03 00:00:00+00:00,btc,948843,1.897502355497,878852778922.5397,168921783.14925957,46453.432351841,18919006.29142014,241163
2022-01-04 00:00:00+00:00,btc,971141,1.876886228678,868537343384.6884,177367872.13297442,45905.9611221508,18919925.04140376,274049
2022-01-05 00:00:00+00:00,btc,1023484,1.782277170897,823643008455.5006,180987625.79562452,43530.9440388662,18920862.541371,274757
2022-01-06 00:00:00+00:00,btc,937879,1.768057798633,816379327436.9196,176161288.73707852,43144.9652928112,18921775.04133824,258406
2022-01-07 00:00:00+00:00,btc,961733,1.704571291459,785531894863.5997,168921783.14925957,41512.7845808299,18922650.0413164,255659
2022-01-08 00:00:00+00:00,btc,823193,1.71699299406,791000850844.3613,174267690.69443852,41799.8128848627,18923550.0413164,226064
2022-01-09 00:00:00+00:00,btc,734904,1.72082066082,792678163975.4711,170826077.22420472,41886.4985569842,18924431.2913164,203966
2022-01-10 00:00:00+00:00,btc,977953,1.718638590786,791399129617.2528,172037608.9072826,41816.9510561075,18925318.79130548,269292
2022-01-11 00:00:00+00:00,btc,973363,1.758039861455,809443647923.8131,191422128.04877573,42768.1786116306,18926306.29127818,285302
2022-01-12 00:00:00+00:00,btc,958871,1.805597050184,832058044393.2728,168403012.11344224,43961.0265441262,18927175.04123996,266587
2022-01-13 00:00:00+00:00,btc,943218,1.752041588022,806853831547.6661,216864310.8394785,42626.8653924605,18928293.79122904,276789
2022-01-14 00:00:00+00:00,btc,959705,1.771675205411,815902410549.5798,192633661.47646037,43102.6476180596,18929287.5412072,262404
2022-01-15 00:00:00+00:00,btc,819060,1.775752274618,817916391880.5942,201114388.49182567,43206.6744812975,18930325.0412072,234931
2022-01-16 00:00:00+00:00,btc,768912,1.774015355513,817247761097.5045,212018180.61795348,43168.8596671537,18931418.79120174,217903
2022-01-17 00:00:00+00:00,btc,963405,1.73630676024,799161712730.7869,195056726.58722284,42211.270399474,18932425.04117444,258684
2022-01-18 00:00:00+00:00,btc,906852,1.745911520714,803362185167.5491,164768413.57499513,42431.2319670368,18933275.04116898,267423
2022-01-19 00:00:00+00:00,btc,940760,1.721981468557,791223617186.8657,209595115.507191,41787.722012858,18934356.29114714,267790
2022-01-20 00:00:00+00:00,btc,944092,1.681574639726,771734062475.5161,204748985.28566605,40756.1261630625,18935412.54111984,272287
2022-01-21 00:00:00+00:00,btc,1017544,1.514790775018,691027075447.2771,176007153.4708342,36492.2872241379,18936250.04108254,272514
2022-01-22 00:00:00+00:00,btc,980566,1.455165902925,662729719330.2249,177474950.51551133,34996.390965225,18937087.54107708,246984
2022-01-23 00:00:00+00:00,btc,764279,1.508378975549,686900017938.7032,186746029.7638628,36271.0502650497,18937968.79106616,208492
