time,btc_A_MVRV_Z,btc_B_AddrMomentum,btc_C_HashRibbon,btc_D_Ensemble,btc_Buy_and_Hold,eth_A_MVRV_Z,eth_B_AddrMomentum,eth_C_HashRibbon,eth_D_Ensemble,eth_Buy_and_Hold
2020-11-10 00:00:00+00:00,43567.01346317338,20115.066871909305,20867.22682673871,42708.181832087655,16165.067898051695,8848.007978223071,11498.297963963974,3428.432075828869,6756.721226431709,4900.249168518861
2020-11-11 00:00:00+00:00,44738.616076504084,20115.066871909305,20867.22682673871,42708.181832087655,16599.778342687394,8848.007978223071,11822.09043370415,3524.976842075852,6946.9907306756195,5038.240355178801
2020-11-12 00:00:00+00:00,46327.16323942089,20115.066871909305,20867.22682673871,42708.181832087655,17189.19154103558,8848.007978223071,11787.724459247424,3514.7299855833685,6926.796323659338,5023.594549487846
2020-11-13 00:00:00+00:00,46441.625537911,20115.066871909305,20867.22682673871,42708.181832087655,17231.661535643398,8848.007978223071,12136.74278578963,3618.796311705682,7131.889246346863,5172.336282377039
2020-11-14 00:00:00+00:00,45793.0584983119,20115.066871909305,20867.22682673871,42708.181832087655,16991.017768761834,8848.007978223071,11779.701375182472,3512.337753372866,6922.08173524173,5020.175338127917
2020-11-15 00:00:00+00:00,45465.280776231244,20115.066871909305,20867.22682673871,42708.181832087655,16869.39939945632,8848.007978223071,11443.3916382568,3412.060730364493,6724.456734979694,4876.84964645601
2020-11-16 00:00:00+00:00,47616.145294820875,20115.066871909305,20867.22682673871,42708.181832087655,17667.45435477019,8848.007978223071,11772.144686149184,3510.0845855431585,6917.641213579064,5016.954891130615
2020-11-17 00:00:00+00:00,50286.92735293103,20115.066871909305,20867.22682673871,42708.181832087655,18658.419075056623,8848.007978223071,12292.692859086652,3665.2957358113213,7223.529867751173,5238.797789932261
2020-11-18 00:00:00+00:00,50635.36856289386,20234.33033954479,20867.22682673871,42961.40126676002,18787.704407462745,8848.007978223071,12211.11767550368,3640.972572777627,7175.594010097062,5204.032755422196
2020-11-19 00:00:00+00:00,50675.122891528044,20250.216512408562,20867.22682673871,42995.13068777573,18802.45482000035,8848.007978223071,11998.679223174102,3577.6300844903362,7050.759238493116,5113.497499451967
2020-11-20 00:00:00+00:00,53078.5692780176,21210.65443392204,20867.22682673871,45034.32636391403,19694.227538361487,8848.007978223071,12976.933893935095,3869.3149670770945,7625.609022304777,5530.401953660738
2020-11-21 00:00:00+00:00,53200.310944968245,21259.303454855035,20867.22682673871,45137.61765522268,19739.398463697984,8848.007978223071,13939.33674494615,4156.2733338385315,8191.1438338207445,5940.550810928765
2020-11-22 00:00:00+00:00,52563.56343093122,21004.853652126618,20867.22682673871,44597.37145513473,19503.14020360346,8848.007978223071,14392.074673314042,4291.265594469224,8457.185293191613,6133.494902653875
2020-11-23 00:00:00+00:00,52252.3378455842,20880.485221862153,20867.22682673871,44333.31319633154,19387.66332513902,8848.007978223071,15463.795113823111,4610.819040212078,9086.958175394082,6590.231822670057
